expiration, strike, type, price, volume
2023-12-15,  1200, call,  3388.00, 57
2023-12-15,  2500, call,  2107.92, 1200
2023-12-15,  4000, call,  607.90, 181
2023-12-15,  4275, call,  306.65, 74
2023-12-15,  4300, call,  308.60, 152
2023-12-15,  4325, call,  257.62, 74
2023-12-15,  4400, call,  209.41, 332
2023-12-15,  4420, call,  190.76, 105
2023-12-15,  4430, call,  177.96, 104
2023-12-15,  4475, call,  134.43, 438
2023-12-15,  4490, call,  109.57, 276
2023-12-15,  4500, call,  109.18, 99
2023-12-15,  4510, call,  102.50, 68
2023-12-15,  4525, call,  91.71, 205
2023-12-15,  4550, call,  65.31, 604
2023-12-15,  4560, call,  61.22, 83
2023-12-15,  4565, call,  56.47, 196
2023-12-15,  4575, call,  47.89, 622
2023-12-15,  4580, call,  43.15, 245
2023-12-15,  4585, call,  39.95, 2306
2023-12-15,  4590, call,  38.91, 2054
2023-12-15,  4595, call,  37.45, 2389
2023-12-15,  4600, call,  31.20, 35034
2023-12-15,  4605, call,  28.50, 6167
2023-12-15,  4610, call,  26.08, 6611
2023-12-15,  4615, call,  24.00, 315
2023-12-15,  4620, call,  20.44, 226
2023-12-15,  4625, call,  20.10, 5587
2023-12-15,  4630, call,  17.40, 124
2023-12-15,  4635, call,  17.76, 109
2023-12-15,  4640, call,  14.45, 140
2023-12-15,  4645, call,  13.93, 114
2023-12-15,  4650, call,  11.10, 3613
2023-12-15,  4655, call,  10.75, 2447
2023-12-15,  4660, call,  10.07, 354
2023-12-15,  4665, call,  7.93, 182
2023-12-15,  4670, call,  6.75, 197
2023-12-15,  4675, call,  6.97, 683
2023-12-15,  4680, call,  4.88, 1316
2023-12-15,  4685, call,  5.30, 73
2023-12-15,  4690, call,  3.90, 260
2023-12-15,  4695, call,  3.80, 64
2023-12-15,  4700, call,  3.00, 2965
2023-12-15,  4705, call,  2.55, 287
2023-12-15,  4710, call,  2.20, 1321
2023-12-15,  4715, call,  2.15, 340
2023-12-15,  4720, call,  1.59, 249
2023-12-15,  4725, call,  1.60, 3393
2023-12-15,  4730, call,  1.40, 200
2023-12-15,  4735, call,  1.35, 460
2023-12-15,  4740, call,  1.00, 238
2023-12-15,  4745, call,  0.85, 96
2023-12-15,  4750, call,  0.60, 3108
2023-12-15,  4760, call,  0.62, 834
2023-12-15,  4765, call,  0.40, 58
2023-12-15,  4775, call,  0.45, 1273
2023-12-15,  4780, call,  0.30, 147
2023-12-15,  4785, call,  0.30, 200
2023-12-15,  4795, call,  0.25, 84
2023-12-15,  4800, call,  0.25, 252
2023-12-15,  4825, call,  0.17, 271
2023-12-15,  4855, call,  0.15, 131
2023-12-15,  4890, call,  0.15, 184
2023-12-15,  4900, call,  0.12, 66
2023-12-15,  4920, call,  0.10, 410
2023-12-15,  4925, call,  0.10, 560
2023-12-15,  4930, call,  0.10, 295
2023-12-15,  4940, call,  0.10, 125
2023-12-15,  4950, call,  0.10, 363
2023-12-15,  4960, call,  0.10, 200
2023-12-15,  4975, call,  0.07, 363
2023-12-15,  5000, call,  0.10, 371
2023-12-15,  5200, call,  0.05, 2998
2023-12-15,  3300,  put,  0.05, 65
2023-12-15,  3425,  put,  0.05, 692
2023-12-15,  3450,  put,  0.05, 150
2023-12-15,  3500,  put,  0.05, 381
2023-12-15,  3600,  put,  0.10, 958
2023-12-15,  3630,  put,  0.10, 800
2023-12-15,  3650,  put,  0.10, 625
2023-12-15,  3690,  put,  0.10, 400
2023-12-15,  3700,  put,  0.10, 1436
2023-12-15,  3750,  put,  0.10, 85
2023-12-15,  3760,  put,  0.10, 250
2023-12-15,  3775,  put,  0.10, 152
2023-12-15,  3780,  put,  0.15, 250
2023-12-15,  3795,  put,  0.15, 400
2023-12-15,  3810,  put,  0.15, 656
2023-12-15,  3850,  put,  0.15, 175
2023-12-15,  3885,  put,  0.15, 500
2023-12-15,  3890,  put,  0.20, 70
2023-12-15,  3900,  put,  0.20, 760
2023-12-15,  3950,  put,  0.20, 462
2023-12-15,  4000,  put,  0.25, 578
2023-12-15,  4025,  put,  0.25, 72
2023-12-15,  4045,  put,  0.30, 500
2023-12-15,  4050,  put,  0.30, 158
2023-12-15,  4065,  put,  0.35, 100
2023-12-15,  4085,  put,  0.30, 81
2023-12-15,  4095,  put,  0.30, 111
2023-12-15,  4100,  put,  0.30, 2086
2023-12-15,  4125,  put,  0.35, 484
2023-12-15,  4135,  put,  0.35, 151
2023-12-15,  4150,  put,  0.37, 1075
2023-12-15,  4160,  put,  0.35, 51
2023-12-15,  4175,  put,  0.40, 502
2023-12-15,  4200,  put,  0.45, 1116
2023-12-15,  4210,  put,  0.45, 73
2023-12-15,  4215,  put,  0.40, 153
2023-12-15,  4250,  put,  0.51, 1003
2023-12-15,  4265,  put,  0.50, 167
2023-12-15,  4275,  put,  0.50, 70
2023-12-15,  4300,  put,  0.60, 1291
2023-12-15,  4315,  put,  0.60, 173
2023-12-15,  4320,  put,  0.60, 69
2023-12-15,  4325,  put,  0.60, 62
2023-12-15,  4335,  put,  0.65, 118
2023-12-15,  4340,  put,  0.65, 291
2023-12-15,  4345,  put,  0.72, 479
2023-12-15,  4350,  put,  0.75, 1387
2023-12-15,  4355,  put,  0.75, 287
2023-12-15,  4365,  put,  0.75, 293
2023-12-15,  4370,  put,  0.80, 639
2023-12-15,  4385,  put,  0.90, 405
2023-12-15,  4390,  put,  0.90, 64
2023-12-15,  4395,  put,  0.95, 65
2023-12-15,  4400,  put,  1.00, 5458
2023-12-15,  4405,  put,  1.05, 53
2023-12-15,  4420,  put,  1.20, 599
2023-12-15,  4425,  put,  1.30, 1588
2023-12-15,  4435,  put,  1.35, 181
2023-12-15,  4440,  put,  1.35, 200
2023-12-15,  4445,  put,  1.45, 269
2023-12-15,  4450,  put,  1.67, 7311
2023-12-15,  4455,  put,  1.75, 210
2023-12-15,  4460,  put,  1.85, 303
2023-12-15,  4465,  put,  1.99, 211
2023-12-15,  4470,  put,  2.20, 70
